행정동코드,Top1 상권,Top1 상권 수,Top1 상권 비율,Top1 상권 Top1 업종,Top1 상권 Top1 업종 수,Top1 상권 Top2 업종,Top1 상권 Top2 업종 수,Top1 상권 Top3 업종,Top1 상권 Top3 업종 수,Top2 상권,Top2 상권 수,Top2 상권 비율,Top2 상권 Top1 업종,Top2 상권 Top1 업종 수,Top2 상권 Top2 업종,Top2 상권 Top2 업종 수,Top2 상권 Top3 업종,Top2 상권 Top3 업종 수,Top3 상권,Top3 상권 수,Top3 상권 비율,Top3 상권 Top1 업종,Top3 상권 Top1 업종 수,Top3 상권 Top2 업종,Top3 상권 Top2 업종 수,Top3 상권 Top3 업종,Top3 상권 Top3 업종 수,Top4 상권,Top4 상권 수,Top4 상권 비율,Top5 상권,Top5 상권 수,Top5 상권 비율
45190550,주거밀집,552,0.7282321899736148,한식/백반/한정식,66,종합소매,31,철물/건설자재소매,20,스포츠,130,0.17150395778364116,유리/페인트/철물건축자재,29,지물판매,13,추어탕전문,12,먹자골목,48,0.0633245382585752,후라이드/양념치킨,6,편의점,5,맞춤양장/양장점,3,편의시설,23,0.030343007915567283,기타,5,0.006596306068601583
45180570,주거밀집,568,0.7073474470734745,한식/백반/한정식,46,여성미용실,29,모텔/여관/여인숙,26,스포츠,109,0.1357409713574097,유리/페인트/철물건축자재,20,청과물소매,16,조명기구/전기용품,15,먹자골목,104,0.1295143212951432,일반가전제품,10,편의점,9,커피전문점/카페/다방,6,편의시설,19,0.023661270236612703,기타,3,0.0037359900373599006
45130660,주거밀집,276,0.7244094488188977,한식/백반/한정식,33,여성미용실,16,수퍼마켓,13,먹자골목,54,0.14173228346456693,편의점,9,일반가전제품,4,타이어판매,3,스포츠,36,0.09448818897637795,유리/페인트/철물건축자재,7,지물판매,6,청과물소매,3,편의시설,12,0.031496062992125984,기타,3,0.007874015748031496
45113612,주거밀집,938,0.747410358565737,한식/백반/한정식,110,여성미용실,52,부동산중개,49,먹자골목,179,0.14262948207171314,편의점,25,후라이드/양념치킨,13,한식/백반/한정식,13,스포츠,112,0.08924302788844622,룸살롱/단란주점,22,유리/페인트/철물건축자재,17,헬스클럽,10,기타,17,0.013545816733067729,편의시설,9,0.007171314741035857
45130515,스포츠,129,0.48134328358208955,수산물소매,102,건어물상,19,청과물소매,2,주거밀집,121,0.45149253731343286,횟집,21,음식점-일식,19,한식/백반/한정식,10,편의시설,11,0.041044776119402986,시장/종합상가,8,할인점,3,,,먹자골목,5,0.018656716417910446,기타,2,0.007462686567164179
45113641,주거밀집,1458,0.6660575605299224,여성미용실,124,부동산중개,123,한식/백반/한정식,89,먹자골목,553,0.2526267702147099,커피전문점/카페/다방,59,후라이드/양념치킨,44,한식/백반/한정식,36,스포츠,140,0.06395614435815442,학원-기타,18,태권도장,13,유리/페인트/철물건축자재,12,기타,26,0.01187756966651439,편의시설,12,0.00548195523069895
45140570,주거밀집,850,0.783410138248848,여성미용실,63,한식/백반/한정식,40,자동차정비/카센타,34,먹자골목,132,0.12165898617511521,편의점,14,후라이드/양념치킨,10,호프/맥주,8,스포츠,88,0.08110599078341015,유리/페인트/철물건축자재,18,청과물소매,18,주방가구판매,4,편의시설,9,0.008294930875576038,기타,6,0.005529953917050691
45140440,주거밀집,18,0.6206896551724138,한식/백반/한정식,4,주유소,4,여성미용실,2,스포츠,11,0.3793103448275862,청과물소매,8,가정용연료소매,1,안전보호구판매,1,,,,,,,,,,,,,,,
45113665,주거밀집,1067,0.7248641304347826,한식/백반/한정식,90,부동산중개,84,여성미용실,53,먹자골목,250,0.16983695652173914,편의점,24,커피전문점/카페/다방,24,한식/백반/한정식,22,스포츠,113,0.07676630434782608,청과물소매,16,유리/페인트/철물건축자재,12,학원-기타,10,편의시설,35,0.02377717391304348,기타,7,0.004755434782608696
45180545,주거밀집,480,0.7830342577487766,여성미용실,50,한식/백반/한정식,40,종합소매,20,스포츠,97,0.15823817292006526,수산물소매,24,청과물소매,19,지물판매,10,먹자골목,31,0.05057096247960848,편의점,4,커피전문점/카페/다방,3,후라이드/양념치킨,3,편의시설,5,0.008156606851549755,,,
45180535,주거밀집,928,0.7575510204081632,한식/백반/한정식,129,여성미용실,65,학원-입시,47,먹자골목,203,0.1657142857142857,후라이드/양념치킨,23,한식/백반/한정식,21,편의점,18,스포츠,75,0.061224489795918366,청과물소매,13,학원-기타,7,헬스클럽,6,편의시설,11,0.008979591836734694,기타,8,0.006530612244897959
45140652,주거밀집,847,0.7707006369426752,여성미용실,73,한식/백반/한정식,73,부동산중개,49,먹자골목,152,0.13830755232029118,편의점,14,커피전문점/카페/다방,12,한식/백반/한정식,9,스포츠,86,0.07825295723384895,청과물소매,12,태권도장,7,학원-기타,7,기타,9,0.00818926296633303,편의시설,5,0.004549590536851683
45111660,주거밀집,284,0.8137535816618912,한식/백반/한정식,20,여성미용실,14,수퍼마켓,12,스포츠,30,0.08595988538681948,청과물소매,6,유리/페인트/철물건축자재,5,유니폼/맞춤복/단체복,4,먹자골목,27,0.07736389684813753,편의점,3,한식/백반/한정식,3,후라이드/양념치킨,3,편의시설,5,0.014326647564469915,기타,3,0.008595988538681949
45111530,주거밀집,1397,0.7778396436525612,한식/백반/한정식,191,커피전문점/카페/다방,93,민박/하숙,44,스포츠,229,0.12750556792873052,청과물소매,36,한복/갈옷/민속옷,34,섬유/직물/주단,28,먹자골목,141,0.07850779510022271,커피전문점/카페/다방,17,한식/백반/한정식,16,편의점,14,편의시설,24,0.013363028953229399,기타,5,0.0027839643652561247
45111672,주거밀집,1632,0.7738264580369844,한식/백반/한정식,193,학원-입시,85,여성미용실,74,먹자골목,314,0.14888572783309625,한식/백반/한정식,27,편의점,19,커피전문점/카페/다방,17,스포츠,133,0.06306306306306306,유리/페인트/철물건축자재,17,청과물소매,13,학원-기타,12,편의시설,16,0.007586533902323376,기타,14,0.006638217164532954
45111692,주거밀집,1418,0.7447478991596639,한식/백반/한정식,119,여성미용실,98,부동산중개,64,먹자골목,339,0.17804621848739496,한식/백반/한정식,34,후라이드/양념치킨,25,커피전문점/카페/다방,21,스포츠,126,0.0661764705882353,지물판매,13,학원-기타,10,태권도장,8,편의시설,15,0.007878151260504201,기타,6,0.0031512605042016808
45140370,주거밀집,57,0.6195652173913043,한식/백반/한정식,15,자동차정비/카센타,6,수퍼마켓,4,스포츠,26,0.2826086956521739,청과물소매,20,농기구판매,2,LPG판매,1,먹자골목,7,0.07608695652173914,편의점,3,후라이드/양념치킨,2,농자재판매,1,편의시설,2,0.021739130434782608,,,
45111702,주거밀집,874,0.796718322698268,한식/백반/한정식,76,여성미용실,70,부동산중개,30,먹자골목,136,0.12397447584320875,한식/백반/한정식,11,후라이드/양념치킨,11,편의점,6,스포츠,79,0.07201458523245215,청과물소매,12,유리/페인트/철물건축자재,9,태권도장,7,편의시설,6,0.0054694621695533276,기타,2,0.0018231540565177757
45113670,주거밀집,423,0.6202346041055719,부동산중개,58,한식/백반/한정식,35,학원-입시,25,먹자골목,198,0.2903225806451613,커피전문점/카페/다방,28,한식/백반/한정식,17,후라이드/양념치킨,16,스포츠,50,0.07331378299120235,학원-기타,12,청과물소매,8,헬스클럽,7,기타,7,0.010263929618768328,편의시설,4,0.005865102639296188
45710340,주거밀집,208,0.7790262172284644,한식/백반/한정식,45,커피전문점/카페/다방,21,수퍼마켓,17,스포츠,38,0.14232209737827714,청과물소매,11,지물판매,5,주방가구판매,4,먹자골목,16,0.0599250936329588,커피전문점/카페/다방,4,편의점,3,정통양식/경양식,2,편의시설,5,0.018726591760299626,,,
45770350,주거밀집,84,0.8,한식/백반/한정식,29,캠프/별장/펜션,8,모텔/여관/여인숙,7,스포츠,17,0.1619047619047619,청과물소매,11,농기구수리,1,추어탕전문,1,먹자골목,2,0.01904761904761905,수퍼마켓,1,한식/백반/한정식,1,,,기타,1,0.009523809523809525,편의시설,1,0.009523809523809525
45190590,주거밀집,894,0.7376237623762376,한식/백반/한정식,88,여성미용실,59,호프/맥주,34,먹자골목,174,0.14356435643564355,편의점,17,후라이드/양념치킨,15,커피전문점/카페/다방,12,스포츠,123,0.10148514851485149,룸살롱/단란주점,22,유리/페인트/철물건축자재,15,청과물소매,12,편의시설,11,0.009075907590759076,기타,10,0.00825082508250825
45180520,주거밀집,162,0.7431192660550459,한식/백반/한정식,11,여성미용실,10,학원-입시,7,스포츠,28,0.12844036697247707,청과물소매,8,지물판매,4,학원-기타,3,먹자골목,18,0.08256880733944955,화장품판매점,3,보일러/냉난방용품,2,건축백화점,1,편의시설,8,0.03669724770642202,기타,2,0.009174311926605505
45130530,주거밀집,720,0.7708779443254818,한식/백반/한정식,90,여성미용실,48,커피전문점/카페/다방,46,먹자골목,112,0.11991434689507495,핸드폰소매,13,편의점,11,커피전문점/카페/다방,8,스포츠,80,0.08565310492505353,룸살롱/단란주점,10,유리/페인트/철물건축자재,9,수산물소매,8,편의시설,14,0.014989293361884369,기타,8,0.008565310492505354
45710256,주거밀집,157,0.7336448598130841,한식/백반/한정식,19,부동산중개,11,수퍼마켓,9,스포츠,35,0.16355140186915887,청과물소매,13,지물판매,3,농자재판매,3,먹자골목,13,0.06074766355140187,편의점,4,식료품점,2,구내식당/자급식음식점,1,편의시설,7,0.03271028037383177,기타,2,0.009345794392523364
45210580,주거밀집,196,0.7101449275362319,자동차정비/카센타,24,한식/백반/한정식,17,모텔/여관/여인숙,11,스포츠,48,0.17391304347826086,청과물소매,13,농기구판매,11,유리/페인트/철물건축자재,10,먹자골목,23,0.08333333333333333,농기구판매,5,편의점,2,인삼제품판매,2,편의시설,6,0.021739130434782608,기타,3,0.010869565217391304
45750340,주거밀집,46,0.7419354838709677,한식/백반/한정식,20,수퍼마켓,5,주유소,3,스포츠,11,0.1774193548387097,청과물소매,7,유리/페인트/철물건축자재,1,주방가구판매,1,먹자골목,3,0.04838709677419355,수퍼마켓,1,건강식품판매,1,청과물소매,1,편의시설,2,0.03225806451612903,,,
45113642,주거밀집,1120,0.6833435021354485,여성미용실,75,한식/백반/한정식,70,부동산중개,64,먹자골목,301,0.18364856619890177,캐쥬얼/스포츠의류,21,커피전문점/카페/다방,21,한식/백반/한정식,18,스포츠,183,0.11165344722391703,청과물소매,75,수산물소매,15,유리/페인트/철물건축자재,11,편의시설,21,0.012812690665039659,기타,14,0.008541793776693106
45790250,주거밀집,1190,0.7147147147147147,한식/백반/한정식,129,여성미용실,66,모텔/여관/여인숙,43,먹자골목,235,0.14114114114114115,커피전문점/카페/다방,22,편의점,20,후라이드/양념치킨,17,스포츠,198,0.11891891891891893,청과물소매,59,유리/페인트/철물건축자재,14,수산물소매,13,편의시설,35,0.021021021021021023,기타,7,0.004204204204204204
45800370,주거밀집,249,0.7410714285714286,한식/백반/한정식,49,횟집,41,음식점-일식,22,스포츠,50,0.1488095238095238,수산물소매,26,건어물상,12,청과물소매,4,먹자골목,18,0.05357142857142857,편의점,8,수퍼마켓,2,커피전문점/카페/다방,2,편의시설,16,0.047619047619047616,기타,3,0.008928571428571428
45210390,주거밀집,29,0.7631578947368421,떡전문,3,한식/백반/한정식,3,방앗간/정미소,2,스포츠,6,0.15789473684210525,청과물소매,5,사료소매,1,,,편의시설,2,0.05263157894736842,시장/종합상가,2,,,,,기타,1,0.02631578947368421,,,
45210340,주거밀집,107,0.6858974358974359,한식/백반/한정식,17,캐쥬얼/스포츠의류,13,여성의류전문점,5,스포츠,23,0.14743589743589744,청과물소매,15,유리/페인트/철물건축자재,3,사료소매,1,먹자골목,21,0.1346153846153846,캐쥬얼/스포츠의류,6,편의점,3,여성의류전문점,3,편의시설,5,0.03205128205128205,,,
