행정동코드,Top1상권,Top2상권,Top3상권,Top1상권-1경도,Top1상권-1위도,Top1상권-2경도,Top1상권-2위도,Top1상권-3경도,Top1상권-3위도,Top1상권-4경도,Top1상권-4위도,Top1상권-5경도,Top1상권-5위도,Top1상권-6경도,Top1상권-6위도,Top1상권-7경도,Top1상권-7위도,Top1상권-8경도,Top1상권-8위도,Top1상권-9경도,Top1상권-9위도,Top1상권-10경도,Top1상권-10위도,Top2상권-1경도,Top2상권-1위도,Top2상권-2경도,Top2상권-2위도,Top2상권-3경도,Top2상권-3위도,Top2상권-4경도,Top2상권-4위도,Top2상권-5경도,Top2상권-5위도,Top2상권-6경도,Top2상권-6위도,Top2상권-7경도,Top2상권-7위도,Top2상권-8경도,Top2상권-8위도,Top2상권-9경도,Top2상권-9위도,Top2상권-10경도,Top2상권-10위도,Top3상권-1경도,Top3상권-1위도,Top3상권-2경도,Top3상권-2위도,Top3상권-3경도,Top3상권-3위도,Top3상권-4경도,Top3상권-4위도,Top3상권-5경도,Top3상권-5위도,Top3상권-6경도,Top3상권-6위도,Top3상권-7경도,Top3상권-7위도,Top3상권-8경도,Top3상권-8위도,Top3상권-9경도,Top3상권-9위도,Top3상권-10경도,Top3상권-10위도
4311376000,0,1.0,4.0,127.424469913143,36.6258914858744,127.403377869162,36.6207409728746,127.395391083547,36.6541985537129,127.425649525219,36.6236261294624,127.422969607943,36.6306696493711,127.423696585925,36.6261400867241,127.423870111162,36.6403800162206,127.424369519288,36.6213489038924,127.422713138516,36.6365713203615,127.425202879993,36.6295719572415,127.429733342693,36.6247452199265,127.421642433467,36.6451726544081,127.424839401312,36.6273261927533,127.425327483516,36.6308612868313,127.421642433467,36.6451726544081,127.415371470306,36.6462505283618,127.425248278681,36.6309870740005,127.421642433467,36.6451726544081,127.421642433467,36.6451726544081,127.429616825902,36.625384521157,127.422487242992,36.6188885046086,127.420288603661,36.6407771978893,127.409798171601,36.6042177044705,127.405087363781,36.6485157125757,127.416511730703,36.647797180717,127.421642433467,36.6451726544081,127.394431637417,36.6381702566645,127.426788172732,36.6299040295807,127.424107431613,36.6340366616732,127.397323012549,36.6000187112051
4378525000,0,1.0,4.0,127.584209456465,36.8110229285101,127.581184757496,36.7819489465655,127.582283761874,36.783818277608,127.582253379222,36.783223384376,127.5925638965,36.7826373208207,127.581758319777,36.7836091573685,127.575855162716,36.7813533016797,127.580509170235,36.7825683886443,127.582311255014,36.7828811347083,127.571781982414,36.7784639077155,127.57829621043,36.7897700943857,127.592618799085,36.7891981844655,127.581975587632,36.7848625773713,127.584061189469,36.7866272111052,127.569419265948,36.7802667757014,127.58518727192,36.7855767491047,127.588346204789,36.7835960884389,127.578702431967,36.789248843155,127.587952702193,36.7880376005856,127.571112751237,36.7859774346388,127.591362179044,36.7874095156001,127.575262352001,36.783207641564,127.584363443561,36.7846005866993,127.583187689631,36.7844793180643,127.575262352001,36.783207641564,127.581438513345,36.7826707931516,127.58298936596,36.7859295413462,127.577053448203,36.7794019811181,127.572196370352,36.7805020924924,127.577626647901,36.7770248696247
4377035000,0,1.0,4.0,127.497879727714,37.0193644150913,127.498707141393,37.0182955407397,127.484039443187,37.0235765130165,127.493381231369,37.0147674397251,127.498465877156,37.0190965476514,127.495201157048,37.0131531176449,127.4968835915,37.018747412437,127.498245740704,37.0183927178137,127.4623934165,37.0044300695546,127.454371792464,37.0074483765353,127.473933094327,36.9994983888396,127.493178276587,37.0182540360177,127.486001330175,37.0243059477747,127.465220321776,37.0002704954604,127.518240540843,37.0144834527686,127.529983775066,37.0272548311375,127.484571587669,37.0246602074127,127.489817857022,37.0199698512071,127.486546121632,37.023515292509,127.498899066233,37.0198733689955,127.501291831459,37.0183064298354,127.454371792464,37.0074483765353,127.480020406444,37.0311646862169,127.496467494019,37.018790705437,127.500717089311,37.0202685269919,127.497654138509,37.0194896218545,127.537016286273,37.0370689910726,127.504251871142,37.0003227719409,127.48592332756,37.0242064832208,127.489664683412,37.0092634911351
4376025000,0,1.0,4.0,127.792779504948,36.8094694403817,127.82276095626,36.8041197479194,127.793154517088,36.8075505518951,127.791259881419,36.8119000033725,127.793772795235,36.8110302304733,127.794839938106,36.8101308833048,127.787528201381,36.8157504977735,127.792291898485,36.8074228815041,127.792725896303,36.808568153958,127.792725896303,36.808568153958,127.807405539783,36.8094219288527,127.81611708258,36.8080659028064,127.794483268569,36.8093912893148,127.792552704101,36.8104513452246,127.781984750977,36.7982573178427,127.801991529849,36.8053576681658,127.794634598115,36.807282758761,127.794286258045,36.8076246102205,127.79339519352,36.8097408693944,127.783868001089,36.798026444124,127.795353642901,36.8108256868181,127.786098909746,36.8138103727835,127.793233719064,36.8072713197006,127.790167526176,36.8137995970438,127.793295076221,36.8094613256257,127.823901971854,36.8392769247492,127.795442321919,36.8111953284019,127.798105542487,36.8128130140457,127.793522517927,36.8082360981551,127.795956182721,36.8118360579153
4377025300,0,1.0,4.0,127.594621729125,36.9912937252133,127.585451418971,36.9898202004995,127.59648551841,36.9936250687702,127.554102857302,36.9792801710451,127.524348487359,37.0117235196352,127.599597436499,36.9893460808848,127.59582560337,36.9930731160644,127.594696254872,36.9920689776922,127.595643709172,36.9934780187663,127.550759444576,36.9786277432007,127.591284425022,36.987236070622,127.591694784113,36.9924281681347,127.597298093886,36.9929249229501,127.596492943748,36.9879658049563,127.522681939346,37.0122755453399,127.588981752755,36.9913734600068,127.598343391584,36.9906935859874,127.590068642086,36.9918998910841,127.585150239765,36.9914953066662,127.586725433707,36.9910502205823,127.593060881584,36.9911622226434,127.546583158045,36.9763769884124,127.569749034193,36.9793739470885,127.596491992604,36.9923995127143,127.598060392315,36.9996411475654,127.589227058449,36.9917167499837,127.585310939774,36.9908650559358,127.593071540093,36.9933791136314,127.598977001829,37.0069526459627,127.527022859617,37.0117342070259
4315036000,0,4.0,1.0,127.985139245976,37.1954378107404,127.946611615102,37.216179827266,128.022677883577,37.1388539986842,127.954477780247,37.2137590649385,128.037582551491,37.1422925802696,127.954477422939,37.2143538123464,128.021799960791,37.1390163693376,127.999377225109,37.2243561105941,128.022970346594,37.138214129941,128.036829618137,37.1448790983439,128.019189977242,37.14463094629,128.021901106714,37.1384666527054,128.023105472465,37.1383943325432,128.020299503558,37.1262744429147,128.018131672001,37.1439642667749,127.991337390743,37.1716393874244,128.013494194644,37.2090541169955,128.022598890442,37.1381781555611,128.014578757136,37.1659796503585,127.992811130609,37.1867876167718,128.020707739224,37.1376017685879,128.025524953513,37.1367627648915,128.024692329887,37.137682108602,127.973871561145,37.1722405868462,128.023105472465,37.1383943325432,128.046372053158,37.1577080152379,128.022880342634,37.1383583304364,128.024692329887,37.137682108602,128.022880342634,37.1383583304364,128.046372053158,37.1577080152379
4311375100,0,1.0,4.0,127.453800400978,36.6397008956671,127.457839742351,36.6409630139393,127.457839742351,36.6409630139393,127.462241669779,36.6399555865731,127.468552247029,36.6410833789455,127.45243003735,36.637396522953,127.459627940159,36.642719482739,127.459773380996,36.6427111302596,127.459022646917,36.6413198625329,127.455564355581,36.6385283861224,127.458760755061,36.6403904281182,127.466786309265,36.6393181305566,127.454704538047,36.6431116050899,127.465649394583,36.6420166637362,127.459270023878,36.642726870841,127.464533900126,36.6399929473495,127.457691335827,36.6413949185967,127.458351605046,36.639730686255,127.453677982688,36.6380330981991,127.468751741102,36.6413456193072,127.460824755295,36.6394805539093,127.458176926065,36.6407212215691,127.46872766054,36.639966661979,127.453078537433,36.6374085137769,127.4674022448,36.6424390688563,127.457389271768,36.643006706243,127.461748949272,36.6400524945173,127.457450816154,36.6390146325351,127.458969219519,36.642563287651,127.453278415118,36.6376076971208
4311132000,0,4.0,1.0,127.653864375194,36.63169030204,127.654730591307,36.6330266162637,127.654524331943,36.6316381443941,127.688454185124,36.6583175601113,127.653580317098,36.6326988393979,127.704629817912,36.6374956228949,127.654400287982,36.6318721010741,127.688873250994,36.65980565805,127.658315816682,36.6365066355741,127.653905635982,36.6324654684298,127.746790411466,36.6265978111047,127.659139087932,36.640005712207,127.65370230839,36.6329244982149,127.654320728472,36.6321602596956,127.703149859515,36.6792902575546,127.658277056357,36.6376871177058,127.65364688338,36.6328161911001,127.650242509852,36.6314634332792,127.658089661786,36.637073753055,127.749224057331,36.6070644758868,127.655407184523,36.6342632418625,127.65812583673,36.6364790541036,127.65056942025,36.6308786014403,127.653402619657,36.6324279575749,127.654927110972,36.6315852385509,127.65467922594,36.6320080923615,127.663205410701,36.6255707674238,127.657405221346,36.6375944923188,127.683676050314,36.6095310812764,127.683676050314,36.6095310812764
4311377000,0,1.0,4.0,127.453260415498,36.6607235782986,127.464623797612,36.6625505709924,127.455321267253,36.6587593796589,127.412209723019,36.6546522258841,127.457079089457,36.661705335185,127.45566804725,36.6619332085287,127.445350651192,36.6593532251578,127.461263741878,36.6663655428986,127.451431472564,36.6662485673954,127.434581534835,36.6528679864296,127.429465611426,36.650446386231,127.464719086729,36.6617128779603,127.452288080867,36.6653422929811,127.448720138804,36.6636946518987,127.450295019814,36.6656034725606,127.450295019814,36.6656034725606,127.430502443935,36.6554530384995,127.464127691634,36.6647292572383,127.452776466628,36.6674623684958,127.457328595492,36.6691864727166,127.46032513259,36.669416377419,127.419955855216,36.656817040195,127.421696857892,36.6558431922961,127.462453661064,36.6641629666286,127.4229305438,36.650901558928,127.453260415498,36.6607235782986,127.450584388064,36.6658120847649,127.456991692926,36.6614075389895,127.455467182936,36.6586879503377,127.42397748003,36.651492409592
4313042000,0,4.0,1.0,127.914982230944,37.0868114211096,127.88654918061,37.0774607040457,127.915129252612,37.0860996163279,127.892406570219,37.0790612027008,127.885919636905,37.077270858081,127.916973810127,37.0862360946983,127.945003310667,37.134427802492,127.885456291549,37.0787483025773,127.916579737264,37.0865872674711,127.91428586081,37.0859007563719,127.918053164051,37.0866784098402,127.921807528038,37.0891771349029,127.917547049712,37.0866239899572,127.915612625555,37.0863703068391,127.926828010953,37.0971555252514,127.918682442415,37.0872645917125,127.934623793222,37.0975746082156,127.942952484008,37.0925594969746,127.915050786717,37.0858562490955,127.927876389627,37.0948942794415,127.915050786717,37.0858562490955,127.918975676204,37.1076668359912,127.914656393784,37.0864867723908,127.914402263668,37.0824133808655,127.915342928337,37.0861358151169,127.916600639949,37.0777740091511,127.915534257823,37.086036824801,127.917108690658,37.0863263042439,127.917265930891,37.086542690515,127.917805983909,37.0864169047212
