행정동명,행정동코드,Top1,number of Top1,Top2,number of Top2,Top3,number of Top3
청운효자동,1111051500,한식/백반/한정식,72,커피전문점/카페/다방,45,부동산중개,26
사직동,1111053000,한식/백반/한정식,199,커피전문점/카페/다방,123,정통양식/경양식,44
삼청동,1111054000,커피전문점/카페/다방,88,한식/백반/한정식,48,정통양식/경양식,27
부암동,1111055000,커피전문점/카페/다방,53,한식/백반/한정식,27,정통양식/경양식,22
평창동,1111056000,커피전문점/카페/다방,49,한식/백반/한정식,40,부동산중개,34
무악동,1111057000,커피전문점/카페/다방,9,여성미용실,9,부동산중개,8
교남동,1111058000,부동산중개,16,커피전문점/카페/다방,13,한식/백반/한정식,13
가회동,1111060000,커피전문점/카페/다방,66,한식/백반/한정식,49,라면김밥분식,15
종로1.2.3.4가동,1111061500,종합소매,451,한식/백반/한정식,430,시계/귀금속,370
종로5.6가동,1111063000,종합소매,626,섬유/직물/주단,190,일반의류,128
이화동,1111064000,한식/백반/한정식,72,커피전문점/카페/다방,68,정통양식/경양식,28
혜화동,1111065000,한식/백반/한정식,84,커피전문점/카페/다방,83,부동산중개,38
창신1동,1111067000,종합소매,45,신발소매,41,한식/백반/한정식,34
창신2동,1111068000,한식/백반/한정식,27,일반의류,15,여성미용실,12
창신3동,1111069000,부동산중개,8,여성미용실,8,어린이집,5
숭인1동,1111070000,일반의류,13,부동산중개,12,한식/백반/한정식,11
숭인2동,1111071000,종합소매,71,한식/백반/한정식,32,일반의류,31
소공동,1114052000,한식/백반/한정식,146,커피전문점/카페/다방,126,일반의류,105
회현동,1114054000,일반의류,340,종합소매,182,액세서리판매,151
명동,1114055000,한식/백반/한정식,181,커피전문점/카페/다방,181,편의점,45
필동,1114057000,한식/백반/한정식,87,인쇄종합,78,커피전문점/카페/다방,71
장충동,1114058000,한식/백반/한정식,30,커피전문점/카페/다방,27,화장품판매점,17
광희동,1114059000,종합소매,352,일반의류,228,인쇄종합,166
을지로동,1114060500,인쇄종합,211,한식/백반/한정식,115,종합소매,103
신당동,1114061500,일반의류,852,종합소매,446,여성의류전문점,169
다산동,1114062500,한식/백반/한정식,49,커피전문점/카페/다방,43,일반의류,21
약수동,1114063500,부동산중개,31,한식/백반/한정식,28,여성미용실,27
청구동,1114064500,한식/백반/한정식,22,부동산중개,19,일반의류,14
신당5동,1114065000,한식/백반/한정식,60,호프/맥주,20,커피전문점/카페/다방,16
동화동,1114066500,여성미용실,22,커피전문점/카페/다방,17,부동산중개,16
황학동,1114067000,한식/백반/한정식,59,일반가구소매,25,부동산중개,24
중림동,1114068000,한식/백반/한정식,45,커피전문점/카페/다방,30,꽃집/꽃배달,22
후암동,1117051000,한식/백반/한정식,35,커피전문점/카페/다방,33,부동산중개,32
용산2가동,1117052000,한식/백반/한정식,53,커피전문점/카페/다방,34,정통양식/경양식,30
남영동,1117053000,한식/백반/한정식,89,커피전문점/카페/다방,73,종합소매,29
청파동,1117055500,한식/백반/한정식,72,커피전문점/카페/다방,60,부동산중개,34
원효로1동,1117056000,한식/백반/한정식,64,컴퓨터/주변기기,58,부동산중개,35
원효로2동,1117057000,한식/백반/한정식,31,부동산중개,30,커피전문점/카페/다방,21
효창동,1117058000,부동산중개,16,커피전문점/카페/다방,16,한식/백반/한정식,11
용문동,1117059000,한식/백반/한정식,22,여성미용실,19,커피전문점/카페/다방,17
한강로동,1117062500,한식/백반/한정식,165,컴퓨터/주변기기,150,부동산중개,147
이촌1동,1117063000,부동산중개,63,한식/백반/한정식,39,여성미용실,35
이촌2동,1117064000,부동산중개,14,한식/백반/한정식,14,커피전문점/카페/다방,7
이태원1동,1117065000,일반의류,133,한식/백반/한정식,117,정통양식/경양식,87
이태원2동,1117066000,한식/백반/한정식,70,커피전문점/카페/다방,57,정통양식/경양식,52
한남동,1117068500,한식/백반/한정식,182,커피전문점/카페/다방,122,정통양식/경양식,70
서빙고동,1117069000,한식/백반/한정식,28,부동산중개,19,커피전문점/카페/다방,18
보광동,1117070000,한식/백반/한정식,39,여성미용실,36,부동산중개,34
왕십리2동,1120052000,부동산중개,36,한식/백반/한정식,26,여성미용실,21
왕십리도선동,1120053500,한식/백반/한정식,91,부동산중개,57,여성미용실,39
마장동,1120054000,육류소매,163,정육점,56,한식/백반/한정식,50
사근동,1120055000,커피전문점/카페/다방,62,한식/백반/한정식,51,부동산중개,24
행당1동,1120056000,한식/백반/한정식,61,커피전문점/카페/다방,30,부동산중개,26
행당2동,1120057000,부동산중개,19,세탁소/빨래방,14,여성미용실,14
응봉동,1120058000,여성미용실,13,부동산중개,12,학원-입시,8
금호1가동,1120059000,여성미용실,20,한식/백반/한정식,17,커피전문점/카페/다방,15
금호2.3가동,1120061500,한식/백반/한정식,49,여성미용실,46,부동산중개,24
금호4가동,1120062000,부동산중개,33,여성미용실,25,한식/백반/한정식,24
옥수동,1120064500,부동산중개,42,한식/백반/한정식,38,여성미용실,27
성수1가1동,1120065000,한식/백반/한정식,54,부동산중개,53,커피전문점/카페/다방,48
성수1가2동,1120066000,커피전문점/카페/다방,131,한식/백반/한정식,119,부동산중개,42
성수2가1동,1120067000,한식/백반/한정식,81,커피전문점/카페/다방,64,부동산중개,34
성수2가3동,1120069000,한식/백반/한정식,190,커피전문점/카페/다방,134,부동산중개,60
송정동,1120072000,한식/백반/한정식,21,여성미용실,11,부동산중개,11
용답동,1120079000,자동차정비/카센타,84,한식/백반/한정식,52,중고자동차판매,45
화양동,1121571000,커피전문점/카페/다방,138,한식/백반/한정식,134,호프/맥주,68
군자동,1121573000,한식/백반/한정식,75,커피전문점/카페/다방,61,여성미용실,48
중곡1동,1121574000,한식/백반/한정식,51,부동산중개,44,여성미용실,30
중곡2동,1121575000,여성미용실,61,부동산중개,60,한식/백반/한정식,56
중곡3동,1121576000,한식/백반/한정식,36,여성미용실,32,커피전문점/카페/다방,29
중곡4동,1121577000,커피전문점/카페/다방,43,여성미용실,42,부동산중개,40
능동,1121578000,커피전문점/카페/다방,30,한식/백반/한정식,27,편의점,22
광장동,1121581000,커피전문점/카페/다방,63,부동산중개,54,한식/백반/한정식,54
자양1동,1121582000,한식/백반/한정식,73,여성미용실,48,커피전문점/카페/다방,40
자양2동,1121583000,여성미용실,32,한식/백반/한정식,24,커피전문점/카페/다방,23
자양3동,1121584000,부동산중개,57,커피전문점/카페/다방,56,한식/백반/한정식,51
자양4동,1121584700,한식/백반/한정식,70,커피전문점/카페/다방,64,중국음식/중국집,52
구의1동,1121585000,한식/백반/한정식,74,부동산중개,71,커피전문점/카페/다방,60
구의2동,1121586000,한식/백반/한정식,52,커피전문점/카페/다방,39,여성미용실,38
구의3동,1121587000,부동산중개,62,한식/백반/한정식,62,핸드폰소매,56
용신동,1123053600,한식/백반/한정식,122,부동산중개,72,커피전문점/카페/다방,67
제기동,1123054500,종합소매,211,한식/백반/한정식,186,청과물소매,163
전농1동,1123056000,한식/백반/한정식,107,여성미용실,53,부동산중개,51
전농2동,1123057000,여성미용실,32,커피전문점/카페/다방,26,한식/백반/한정식,21
답십리1동,1123060000,부동산중개,43,한식/백반/한정식,41,커피전문점/카페/다방,32
답십리2동,1123061000,자동차부품판매,98,자동차정비/카센타,70,한식/백반/한정식,41
장안1동,1123065000,한식/백반/한정식,127,자동차정비/카센타,94,부동산중개,69
장안2동,1123066000,한식/백반/한정식,101,커피전문점/카페/다방,67,여성미용실,66
청량리동,1123070500,한식/백반/한정식,71,캐쥬얼/스포츠의류,58,부동산중개,27
회기동,1123071000,한식/백반/한정식,66,커피전문점/카페/다방,45,여성미용실,30
휘경1동,1123072000,한식/백반/한정식,41,여성미용실,19,커피전문점/카페/다방,16
휘경2동,1123073000,부동산중개,31,한식/백반/한정식,28,커피전문점/카페/다방,27
이문1동,1123074000,한식/백반/한정식,46,커피전문점/카페/다방,43,여성미용실,41
이문2동,1123075000,한식/백반/한정식,25,여성미용실,20,부동산중개,18
면목2동,1126052000,한식/백반/한정식,66,여성미용실,48,커피전문점/카페/다방,31
면목4동,1126054000,한식/백반/한정식,28,여성미용실,23,커피전문점/카페/다방,19
면목5동,1126055000,한식/백반/한정식,14,여성미용실,12,부동산중개,12
면목본동,1126056500,한식/백반/한정식,59,부동산중개,55,여성미용실,54
면목7동,1126057000,한식/백반/한정식,34,여성미용실,31,부동산중개,26
면목3.8동,1126057500,여성미용실,71,한식/백반/한정식,66,커피전문점/카페/다방,44
상봉1동,1126058000,여성미용실,34,커피전문점/카페/다방,31,한식/백반/한정식,30
상봉2동,1126059000,한식/백반/한정식,90,부동산중개,45,호프/맥주,38
중화1동,1126060000,여성미용실,39,한식/백반/한정식,26,부동산중개,26
중화2동,1126061000,한식/백반/한정식,70,여성미용실,47,커피전문점/카페/다방,33
묵1동,1126062000,여성미용실,65,부동산중개,36,커피전문점/카페/다방,34
묵2동,1126063000,한식/백반/한정식,53,여성미용실,44,커피전문점/카페/다방,33
망우본동,1126065500,한식/백반/한정식,86,여성미용실,80,커피전문점/카페/다방,56
망우3동,1126066000,여성미용실,36,한식/백반/한정식,29,부동산중개,16
신내1동,1126068000,한식/백반/한정식,50,커피전문점/카페/다방,46,여성미용실,42
신내2동,1126069000,여성미용실,27,커피전문점/카페/다방,18,부동산중개,17
성북동,1129052500,커피전문점/카페/다방,64,한식/백반/한정식,58,여성미용실,29
삼선동,1129055500,한식/백반/한정식,91,커피전문점/카페/다방,49,여성미용실,40
동선동,1129057500,한식/백반/한정식,101,커피전문점/카페/다방,87,여성미용실,71
돈암1동,1129058000,한식/백반/한정식,11,여성미용실,11,학원-입시,8
돈암2동,1129059000,종합소매,20,여성미용실,16,학원-기타,15
안암동,1129060000,커피전문점/카페/다방,97,한식/백반/한정식,78,여성미용실,40
보문동,1129061000,커피전문점/카페/다방,28,부동산중개,23,한식/백반/한정식,23
정릉1동,1129062000,한식/백반/한정식,34,여성미용실,24,부동산중개,16
정릉2동,1129063000,여성미용실,27,부동산중개,24,한식/백반/한정식,24
정릉3동,1129064000,한식/백반/한정식,51,커피전문점/카페/다방,30,여성미용실,29
정릉4동,1129065000,한식/백반/한정식,42,여성미용실,36,커피전문점/카페/다방,25
길음1동,1129066000,부동산중개,39,여성미용실,37,한식/백반/한정식,35
길음2동,1129068500,한식/백반/한정식,48,화장품판매점,43,커피전문점/카페/다방,36
종암동,1129070500,한식/백반/한정식,79,부동산중개,51,여성미용실,48
월곡1동,1129071500,커피전문점/카페/다방,30,한식/백반/한정식,24,부동산중개,23
월곡2동,1129072500,한식/백반/한정식,52,커피전문점/카페/다방,39,여성미용실,32
장위1동,1129076000,한식/백반/한정식,47,여성미용실,32,편의점,19
장위2동,1129077000,한식/백반/한정식,28,여성미용실,26,부동산중개,20
장위3동,1129078000,부동산중개,24,한식/백반/한정식,14,커피전문점/카페/다방,11
석관동,1129081000,한식/백반/한정식,89,여성미용실,78,커피전문점/카페/다방,40
삼양동,1130553400,한식/백반/한정식,29,여성미용실,22,편의점,16
미아동,1130553500,한식/백반/한정식,73,여성미용실,55,커피전문점/카페/다방,35
송중동,1130554500,한식/백반/한정식,120,여성미용실,58,커피전문점/카페/다방,48
송천동,1130555500,한식/백반/한정식,103,여성미용실,46,부동산중개,34
삼각산동,1130557500,한식/백반/한정식,25,부동산중개,17,여성미용실,16
번1동,1130559000,시장/종합상가,3,인테리어/욕실용품/커튼,2,셔터/새시판매,1
번1동,1130559500,한식/백반/한정식,71,여성미용실,52,부동산중개,29
번2동,1130560000,후라이드/양념치킨,1,족발/보쌈전문,1,오락/스포츠용품대여,1
번2동,1130560300,여성미용실,17,한식/백반/한정식,12,커피전문점/카페/다방,9
번3동,1130560600,핸드폰소매,2,중고자동차판매,1,갈비/삼겹살,1
번3동,1130560800,여성미용실,19,한식/백반/한정식,12,커피전문점/카페/다방,9
수유1동,1130561000,부동산중개,7,종합소매,5,청과물소매,2
수유1동,1130561500,한식/백반/한정식,72,종합소매,37,여성미용실,32
수유2동,1130562000,수퍼마켓,3,인테리어/욕실용품/커튼,2,인쇄종합,2
수유2동,1130562500,한식/백반/한정식,57,여성미용실,45,종합소매,28
수유3동,1130563000,부동산중개,3,인쇄종합,2,호프/맥주,2
수유3동,1130563500,한식/백반/한정식,162,호프/맥주,64,여성미용실,60
우이동,1130564500,한식/백반/한정식,112,커피전문점/카페/다방,39,여성미용실,18
인수동,1130566000,한식/백반/한정식,72,여성미용실,41,커피전문점/카페/다방,32
창1동,1132051100,여성미용실,35,한식/백반/한정식,32,커피전문점/카페/다방,32
창2동,1132051200,여성미용실,48,한식/백반/한정식,38,커피전문점/카페/다방,23
창3동,1132051300,한식/백반/한정식,30,여성미용실,27,호프/맥주,18
창4동,1132051400,부동산중개,26,한식/백반/한정식,25,여성미용실,20
창5동,1132051500,여성미용실,35,커피전문점/카페/다방,35,한식/백반/한정식,33
도봉1동,1132052100,한식/백반/한정식,76,커피전문점/카페/다방,34,호프/맥주,25
도봉2동,1132052200,한식/백반/한정식,39,부동산중개,32,여성미용실,26
쌍문1동,1132066000,여성미용실,31,한식/백반/한정식,31,커피전문점/카페/다방,27
쌍문2동,1132067000,한식/백반/한정식,40,여성미용실,38,커피전문점/카페/다방,34
쌍문3동,1132068000,여성미용실,43,부동산중개,27,커피전문점/카페/다방,22
쌍문4동,1132068100,학원-입시,24,여성미용실,22,학원(종합),15
방학1동,1132069000,한식/백반/한정식,80,여성미용실,60,부동산중개,54
방학2동,1132070000,여성미용실,37,한식/백반/한정식,32,커피전문점/카페/다방,20
방학3동,1132071000,커피전문점/카페/다방,16,학원(종합),14,한식/백반/한정식,14
월계1동,1135056000,한식/백반/한정식,55,여성미용실,40,커피전문점/카페/다방,40
월계2동,1135057000,여성미용실,26,수퍼마켓,15,편의점,14
월계3동,1135058000,여성미용실,21,어린이집,19,부동산중개,18
공릉1동,1135059500,한식/백반/한정식,107,커피전문점/카페/다방,69,여성미용실,68
공릉2동,1135060000,커피전문점/카페/다방,62,한식/백반/한정식,59,여성미용실,46
하계1동,1135061100,한식/백반/한정식,38,커피전문점/카페/다방,26,여성미용실,22
하계2동,1135061200,여성미용실,11,부동산중개,10,어린이집,8
중계본동,1135061900,학원-입시,72,학원-외국어/어학,42,커피전문점/카페/다방,39
중계1동,1135062100,학원-입시,55,학원-외국어/어학,33,커피전문점/카페/다방,31
중계4동,1135062400,한식/백반/한정식,42,여성미용실,28,커피전문점/카페/다방,27
중계2.3동,1135062500,일반의류,34,여성미용실,25,화장품판매점,25
상계1동,1135063000,한식/백반/한정식,71,여성미용실,56,커피전문점/카페/다방,52
상계2동,1135064000,한식/백반/한정식,120,커피전문점/카페/다방,68,여성미용실,56
상계3.4동,1135066500,한식/백반/한정식,38,여성미용실,36,부동산중개,27
상계5동,1135067000,여성미용실,56,한식/백반/한정식,45,부동산중개,31
상계6.7동,1135069500,한식/백반/한정식,53,여성미용실,50,부동산중개,38
상계8동,1135070000,부동산중개,24,어린이집,19,여성미용실,18
상계9동,1135071000,일반의류,12,여성미용실,12,부동산중개,11
상계10동,1135072000,부동산중개,11,비만/피부관리,11,학원-입시,8
녹번동,1138051000,한식/백반/한정식,67,부동산중개,58,여성미용실,52
불광1동,1138052000,한식/백반/한정식,48,부동산중개,45,여성미용실,42
불광2동,1138053000,한식/백반/한정식,69,여성미용실,61,부동산중개,27
갈현1동,1138055100,한식/백반/한정식,91,여성미용실,51,호프/맥주,35
갈현2동,1138055200,한식/백반/한정식,92,여성미용실,78,커피전문점/카페/다방,45
구산동,1138056000,여성미용실,57,한식/백반/한정식,29,커피전문점/카페/다방,23
대조동,1138057000,한식/백반/한정식,109,여성미용실,63,부동산중개,45
응암1동,1138058000,한식/백반/한정식,64,여성미용실,57,커피전문점/카페/다방,53
응암2동,1138059000,한식/백반/한정식,43,여성미용실,28,커피전문점/카페/다방,20
응암3동,1138060000,한식/백반/한정식,76,여성미용실,62,커피전문점/카페/다방,44
역촌동,1138062500,한식/백반/한정식,111,여성미용실,107,커피전문점/카페/다방,63
신사1동,1138063100,여성미용실,48,한식/백반/한정식,43,부동산중개,30
신사2동,1138063200,여성미용실,31,커피전문점/카페/다방,19,부동산중개,18
증산동,1138064000,한식/백반/한정식,36,여성미용실,31,커피전문점/카페/다방,20
수색동,1138065000,부동산중개,31,한식/백반/한정식,24,커피전문점/카페/다방,13
진관동,1138069000,한식/백반/한정식,119,커피전문점/카페/다방,80,부동산중개,68
천연동,1141052000,한식/백반/한정식,23,여성미용실,17,부동산중개,16
북아현동,1141055500,부동산중개,50,일반가구소매,47,커피전문점/카페/다방,17
충현동,1141056500,한식/백반/한정식,122,커피전문점/카페/다방,62,부동산중개,36
신촌동,1141058500,커피전문점/카페/다방,247,한식/백반/한정식,235,여성미용실,114
연희동,1141061500,커피전문점/카페/다방,115,한식/백반/한정식,94,부동산중개,44
홍제1동,1141062000,한식/백반/한정식,36,여성미용실,26,커피전문점/카페/다방,22
홍제3동,1141064000,한식/백반/한정식,53,여성미용실,27,종합소매,24
홍제2동,1141065500,부동산중개,16,여성미용실,15,비만/피부관리,8
홍은1동,1141066000,한식/백반/한정식,38,여성미용실,33,부동산중개,26
홍은2동,1141068500,한식/백반/한정식,53,여성미용실,30,커피전문점/카페/다방,30
남가좌1동,1141069000,한식/백반/한정식,28,부동산중개,21,커피전문점/카페/다방,16
남가좌2동,1141070000,한식/백반/한정식,48,커피전문점/카페/다방,44,여성미용실,36
북가좌1동,1141071000,여성미용실,17,부동산중개,17,한식/백반/한정식,16
북가좌2동,1141072000,여성미용실,68,한식/백반/한정식,48,커피전문점/카페/다방,39
아현동,1144055500,부동산중개,58,한식/백반/한정식,48,커피전문점/카페/다방,38
공덕동,1144056500,한식/백반/한정식,104,부동산중개,55,커피전문점/카페/다방,50
도화동,1144058500,한식/백반/한정식,102,커피전문점/카페/다방,46,부동산중개,36
용강동,1144059000,한식/백반/한정식,108,부동산중개,42,커피전문점/카페/다방,42
대흥동,1144060000,한식/백반/한정식,75,커피전문점/카페/다방,58,여성미용실,45
염리동,1144061000,한식/백반/한정식,50,커피전문점/카페/다방,36,부동산중개,28
신수동,1144063000,한식/백반/한정식,50,부동산중개,31,커피전문점/카페/다방,31
서강동,1144065500,한식/백반/한정식,129,커피전문점/카페/다방,91,여성미용실,60
서교동,1144066000,한식/백반/한정식,607,커피전문점/카페/다방,469,여성미용실,233
합정동,1144068000,한식/백반/한정식,134,커피전문점/카페/다방,111,여성미용실,55
망원1동,1144069000,한식/백반/한정식,103,커피전문점/카페/다방,94,여성미용실,44
망원2동,1144070000,커피전문점/카페/다방,47,한식/백반/한정식,46,여성미용실,41
연남동,1144071000,한식/백반/한정식,243,커피전문점/카페/다방,185,여성미용실,51
성산1동,1144072000,한식/백반/한정식,60,커피전문점/카페/다방,42,사진관,34
성산2동,1144073000,한식/백반/한정식,73,커피전문점/카페/다방,50,여성미용실,33
상암동,1144074000,한식/백반/한정식,202,커피전문점/카페/다방,127,부동산중개,45
목1동,1147051000,커피전문점/카페/다방,96,한식/백반/한정식,91,화장품판매점,62
목2동,1147052000,한식/백반/한정식,48,커피전문점/카페/다방,41,부동산중개,37
목3동,1147053000,여성미용실,50,한식/백반/한정식,37,부동산중개,34
목4동,1147054000,한식/백반/한정식,61,여성미용실,52,커피전문점/카페/다방,43
목5동,1147055000,학원-입시,144,학원-외국어/어학,68,학원-기타,57
신월1동,1147056000,한식/백반/한정식,65,여성미용실,48,부동산중개,33
신월2동,1147057000,여성미용실,21,한식/백반/한정식,20,부동산중개,16
신월3동,1147058000,여성미용실,27,한식/백반/한정식,18,커피전문점/카페/다방,16
신월4동,1147059000,여성미용실,33,한식/백반/한정식,29,자동차정비/카센타,17
신월5동,1147060000,한식/백반/한정식,34,여성미용실,33,커피전문점/카페/다방,19
신월6동,1147061000,한식/백반/한정식,17,커피전문점/카페/다방,13,여성미용실,12
신월7동,1147061100,여성미용실,41,한식/백반/한정식,26,커피전문점/카페/다방,19
신정1동,1147062000,한식/백반/한정식,36,여성미용실,34,커피전문점/카페/다방,34
신정2동,1147063000,학원-입시,46,여성미용실,42,커피전문점/카페/다방,36
신정3동,1147064000,여성미용실,42,부동산중개,38,한식/백반/한정식,28
신정4동,1147065000,한식/백반/한정식,102,여성미용실,87,커피전문점/카페/다방,80
신정6동,1147067000,학원-입시,27,학원-외국어/어학,25,커피전문점/카페/다방,22
신정7동,1147068000,여성미용실,30,한식/백반/한정식,28,커피전문점/카페/다방,23
염창동,1150051000,커피전문점/카페/다방,51,부동산중개,45,한식/백반/한정식,40
등촌1동,1150052000,커피전문점/카페/다방,63,한식/백반/한정식,63,부동산중개,51
등촌2동,1150053000,커피전문점/카페/다방,27,여성미용실,27,부동산중개,21
등촌3동,1150053500,한식/백반/한정식,83,커피전문점/카페/다방,54,부동산중개,40
화곡1동,1150054000,한식/백반/한정식,104,여성미용실,80,부동산중개,78
화곡2동,1150055000,여성미용실,28,커피전문점/카페/다방,17,한식/백반/한정식,16
화곡3동,1150056000,여성미용실,45,한식/백반/한정식,44,커피전문점/카페/다방,40
화곡4동,1150057000,여성미용실,62,한식/백반/한정식,51,커피전문점/카페/다방,34
화곡본동,1150059000,한식/백반/한정식,56,여성미용실,38,부동산중개,38
화곡6동,1150059100,한식/백반/한정식,100,부동산중개,44,커피전문점/카페/다방,42
화곡8동,1150059300,여성미용실,42,한식/백반/한정식,39,부동산중개,31
가양1동,1150060300,한식/백반/한정식,302,커피전문점/카페/다방,230,부동산중개,152
가양2동,1150060400,커피전문점/카페/다방,15,여성미용실,13,부동산중개,12
가양3동,1150060500,한식/백반/한정식,13,여성미용실,10,화장품판매점,9
발산1동,1150061100,한식/백반/한정식,134,커피전문점/카페/다방,121,부동산중개,92
우장산동,1150061500,여성미용실,62,부동산중개,58,한식/백반/한정식,47
공항동,1150062000,한식/백반/한정식,77,커피전문점/카페/다방,63,여성미용실,39
방화1동,1150063000,여성미용실,83,한식/백반/한정식,73,커피전문점/카페/다방,73
방화2동,1150064000,한식/백반/한정식,61,캐쥬얼/스포츠의류,51,커피전문점/카페/다방,46
방화3동,1150064100,커피전문점/카페/다방,18,한식/백반/한정식,16,여성미용실,15
신도림동,1153051000,커피전문점/카페/다방,54,부동산중개,51,한식/백반/한정식,51
구로1동,1153052000,부동산중개,21,커피전문점/카페/다방,19,여성미용실,16
구로2동,1153053000,한식/백반/한정식,117,철물/건설자재소매,78,호프/맥주,69
구로3동,1153054000,한식/백반/한정식,148,커피전문점/카페/다방,99,사업경영상담,98
구로4동,1153055000,한식/백반/한정식,75,호프/맥주,62,여성미용실,60
구로5동,1153056000,한식/백반/한정식,100,핸드폰소매,54,커피전문점/카페/다방,52
가리봉동,1153059500,한식/백반/한정식,36,중국음식/중국집,32,여성미용실,27
고척1동,1153072000,한식/백반/한정식,59,여성미용실,41,커피전문점/카페/다방,39
고척2동,1153073000,여성미용실,50,한식/백반/한정식,46,부동산중개,30
개봉1동,1153074000,여성미용실,68,한식/백반/한정식,48,커피전문점/카페/다방,42
개봉2동,1153075000,여성미용실,46,커피전문점/카페/다방,26,부동산중개,21
개봉3동,1153076000,여성미용실,40,한식/백반/한정식,35,커피전문점/카페/다방,28
오류1동,1153077000,한식/백반/한정식,39,여성미용실,30,편의점,22
오류2동,1153078000,한식/백반/한정식,53,여성미용실,34,커피전문점/카페/다방,32
수궁동,1153079000,한식/백반/한정식,34,부동산중개,28,여성미용실,27
항동,1153080000,부동산중개,14,한식/백반/한정식,13,커피전문점/카페/다방,11
가산동,1154551000,한식/백반/한정식,245,커피전문점/카페/다방,231,사업경영상담,220
독산1동,1154561000,한식/백반/한정식,110,육류소매,80,여성미용실,71
독산2동,1154562000,여성미용실,42,한식/백반/한정식,25,커피전문점/카페/다방,24
독산3동,1154563000,한식/백반/한정식,70,여성미용실,52,부동산중개,48
독산4동,1154564000,한식/백반/한정식,30,여성미용실,29,부동산중개,24
시흥1동,1154567000,한식/백반/한정식,98,여성미용실,76,커피전문점/카페/다방,60
시흥2동,1154568000,부동산중개,17,여성미용실,16,학원-입시,11
시흥3동,1154569000,유리/페인트/철물건축자재,33,한식/백반/한정식,31,부동산중개,29
시흥4동,1154570000,여성미용실,39,한식/백반/한정식,22,부동산중개,16
시흥5동,1154571000,여성미용실,53,부동산중개,27,한식/백반/한정식,26
영등포본동,1156051500,여성의류전문점,63,한식/백반/한정식,41,캐쥬얼/스포츠의류,37
영등포동,1156053500,한식/백반/한정식,193,커피전문점/카페/다방,108,부동산중개,87
여의동,1156054000,한식/백반/한정식,335,커피전문점/카페/다방,229,사업경영상담,172
당산1동,1156055000,종합소매,90,한식/백반/한정식,86,커피전문점/카페/다방,74
당산2동,1156056000,커피전문점/카페/다방,62,부동산중개,52,한식/백반/한정식,48
도림동,1156058500,부동산중개,24,한식/백반/한정식,23,여성미용실,21
문래동,1156060500,한식/백반/한정식,127,커피전문점/카페/다방,89,사업경영상담,67
양평1동,1156061000,한식/백반/한정식,63,커피전문점/카페/다방,49,부동산중개,39
양평2동,1156062000,커피전문점/카페/다방,69,한식/백반/한정식,66,사업경영상담,44
신길1동,1156063000,한식/백반/한정식,33,여성미용실,23,부동산중개,16
신길3동,1156065000,한식/백반/한정식,30,여성미용실,21,커피전문점/카페/다방,16
신길4동,1156066000,여성미용실,15,한식/백반/한정식,13,커피전문점/카페/다방,13
신길5동,1156067000,모텔/여관/여인숙,10,여성미용실,10,한식/백반/한정식,10
신길6동,1156068000,한식/백반/한정식,40,여성미용실,39,부동산중개,31
신길7동,1156069000,부동산중개,17,커피전문점/카페/다방,11,한식/백반/한정식,11
대림1동,1156070000,한식/백반/한정식,29,커피전문점/카페/다방,15,부동산중개,12
대림2동,1156071000,중국음식/중국집,48,한식/백반/한정식,23,호프/맥주,23
대림3동,1156072000,한식/백반/한정식,38,커피전문점/카페/다방,37,호프/맥주,35
노량진1동,1159051000,커피전문점/카페/다방,67,한식/백반/한정식,67,고시원,45
노량진2동,1159052000,한식/백반/한정식,30,커피전문점/카페/다방,22,부동산중개,21
상도1동,1159053000,커피전문점/카페/다방,67,한식/백반/한정식,62,여성미용실,56
상도2동,1159054000,부동산중개,68,여성미용실,43,커피전문점/카페/다방,36
상도3동,1159055000,여성미용실,43,한식/백반/한정식,41,커피전문점/카페/다방,25
상도4동,1159056000,한식/백반/한정식,43,여성미용실,30,커피전문점/카페/다방,23
흑석동,1159060500,한식/백반/한정식,63,부동산중개,56,여성미용실,45
사당1동,1159062000,한식/백반/한정식,70,커피전문점/카페/다방,49,부동산중개,39
사당2동,1159063000,한식/백반/한정식,75,커피전문점/카페/다방,50,여성미용실,50
사당3동,1159064000,여성미용실,30,한식/백반/한정식,25,커피전문점/카페/다방,24
사당4동,1159065000,한식/백반/한정식,20,여성미용실,20,커피전문점/카페/다방,10
사당5동,1159065100,여성미용실,23,부동산중개,18,커피전문점/카페/다방,16
대방동,1159066000,학원-입시,44,부동산중개,44,커피전문점/카페/다방,41
신대방1동,1159067000,여성미용실,34,한식/백반/한정식,31,부동산중개,24
신대방2동,1159068000,커피전문점/카페/다방,61,부동산중개,40,여성미용실,36
보라매동,1162052500,한식/백반/한정식,60,여성미용실,45,커피전문점/카페/다방,45
청림동,1162054500,한식/백반/한정식,18,부동산중개,15,여성미용실,14
성현동,1162056500,부동산중개,32,여성미용실,22,한식/백반/한정식,20
행운동,1162057500,부동산중개,56,여성미용실,56,커피전문점/카페/다방,55
낙성대동,1162058500,한식/백반/한정식,78,커피전문점/카페/다방,63,정통양식/경양식,35
청룡동,1162059500,부동산중개,66,한식/백반/한정식,66,여성미용실,63
은천동,1162060500,한식/백반/한정식,59,여성미용실,55,부동산중개,42
중앙동,1162061500,한식/백반/한정식,43,부동산중개,37,여성미용실,32
인헌동,1162062500,부동산중개,41,한식/백반/한정식,37,여성미용실,36
