행정동명,행정동코드,Top1,number of Top1,Top2,number of Top2,Top3,number of Top3
퇴촌면,4161034000,한식/백반/한정식,128,커피전문점/카페/다방,48,부동산중개,40
남종면,4161035000,한식/백반/한정식,26,청과물소매,11,커피전문점/카페/다방,7
남한산성면,4161037000,한식/백반/한정식,94,커피전문점/카페/다방,30,국수/만두/칼국수,8
경안동,4161051000,한식/백반/한정식,130,여성미용실,115,커피전문점/카페/다방,106
송정동,4161052000,한식/백반/한정식,59,부동산중개,57,여성미용실,54
쌍령동,4161054000,여성미용실,19,커피전문점/카페/다방,18,한식/백반/한정식,12
탄벌동,4161055000,한식/백반/한정식,68,여성미용실,46,부동산중개,42
광남1동,4161056000,한식/백반/한정식,150,부동산중개,72,커피전문점/카페/다방,58
광남2동,4161057000,여성미용실,31,커피전문점/카페/다방,29,부동산중개,26
백석읍,4163025000,한식/백반/한정식,149,부동산중개,52,여성미용실,46
은현면,4163031000,한식/백반/한정식,59,부동산중개,27,자동차정비/카센타,26
남면,4163032000,한식/백반/한정식,99,편의점,22,자동차정비/카센타,18
광적면,4163033000,한식/백반/한정식,126,자동차정비/카센타,34,부동산중개,33
장흥면,4163034000,한식/백반/한정식,165,꽃집/꽃배달,69,모텔/여관/여인숙,52
양주1동,4163051000,한식/백반/한정식,51,부동산중개,20,유리/페인트/철물건축자재,15
양주2동,4163052000,한식/백반/한정식,157,부동산중개,99,커피전문점/카페/다방,91
회천1동,4163053000,한식/백반/한정식,67,여성미용실,44,커피전문점/카페/다방,27
회천2동,4163054000,한식/백반/한정식,89,부동산중개,52,여성미용실,49
회천3동,4163055000,한식/백반/한정식,66,부동산중개,55,여성미용실,44
회천4동,4163056000,한식/백반/한정식,144,커피전문점/카페/다방,83,여성미용실,80
소흘읍,4165025000,한식/백반/한정식,278,커피전문점/카페/다방,136,일반가구소매,120
군내면,4165031000,한식/백반/한정식,80,일반가구소매,23,편의점,22
내촌면,4165032000,한식/백반/한정식,79,부동산중개,29,편의점,26
가산면,4165033000,일반가구소매,88,한식/백반/한정식,79,섬유/직물/주단,65
신북면,4165034000,한식/백반/한정식,113,편의점,31,수퍼마켓,25
창수면,4165035000,한식/백반/한정식,14,청과물소매,13,식료품점,7
영중면,4165036000,한식/백반/한정식,50,유리/페인트/철물건축자재,14,커피전문점/카페/다방,13
일동면,4165037000,한식/백반/한정식,107,커피전문점/카페/다방,30,여성미용실,29
이동면,4165038000,한식/백반/한정식,126,갈비/삼겹살,71,캠프/별장/펜션,33
영북면,4165039000,한식/백반/한정식,127,갈비/삼겹살,32,캠프/별장/펜션,28
관인면,4165040000,한식/백반/한정식,27,청과물소매,12,커피전문점/카페/다방,9
